ElapsedSeconds,PowerMW,ThroughputTotalMbps,Phase
0.0,1850.0,0.0,pre
5.0,1850.0,0.0,pre
9.999,1850.0,0.0,pre
14.999,1850.0,0.0,pre
19.999,1850.0,0.0,pre
24.998,1850.0,0.0,pre
29.998,1850.0,0.0,pre
34.997,1850.0,0.0,pre
39.997,1850.0,0.0,pre
44.996,1850.0,0.0,pre
49.996,1850.0,0.0,pre
54.995,1850.0,0.0,pre
59.995,1850.0,0.0,pre
64.994,1850.0,0.0,pre
69.994,1850.0,0.0,pre
74.993,1850.0,0.0,pre
79.993,1850.0,0.0,pre
84.992,1850.0,0.0,pre
89.992,1850.0,0.0,pre
94.991,1850.0,0.0,pre
99.991,1930.0,0.0,pre
104.99,1930.0,0.0,pre
109.99,1930.0,0.0,pre
114.989,1850.0,0.0,pre
119.989,1850.0,0.0,pre
124.988,1850.0,0.0,pre
129.988,1850.0,0.0,pre
134.987,1850.0,0.0,pre
139.987,1850.0,0.0,pre
144.986,1930.0,0.0,pre
149.986,1930.0,0.0,pre
154.985,1930.0,0.0,pre
159.985,1850.0,0.0,pre
164.984,1850.0,0.0,pre
169.984,1850.0,0.0,pre
174.983,1850.0,0.0,pre
179.983,1850.0,0.0,pre
184.982,1850.0,0.0,pre
189.982,1850.0,0.0,pre
194.982,1850.0,0.0,pre
199.981,1850.0,0.0,pre
204.981,1850.0,0.0,pre
209.98,1850.0,0.0,pre
214.98,1850.0,0.0,pre
219.979,1850.0,0.0,pre
224.979,1850.0,0.0,pre
229.978,1850.0,0.0,pre
234.978,1850.0,0.0,pre
239.977,1850.0,0.0,pre
244.977,1850.0,0.0,pre
249.976,1850.0,0.0,pre
254.976,1850.0,0.0,pre
259.975,1850.0,0.0,pre
264.975,1850.0,0.0,pre
269.974,1850.0,0.0,pre
274.974,1850.0,0.0,pre
279.973,1850.0,0.0,pre
284.973,1850.0,0.0,pre
289.972,1850.0,0.0,pre
294.972,1850.0,0.0,pre
299.971,1850.0,0.0,pre
304.971,1850.0,0.0,pre
309.97,1850.0,0.0,pre
314.97,1850.0,0.0,pre
319.969,1850.0,0.0,pre
324.969,1850.0,0.0,pre
329.968,1850.0,0.0,pre
334.968,1850.0,0.0,pre
339.967,1850.0,0.0,pre
344.967,1850.0,0.0,pre
349.966,1850.0,0.0,pre
354.966,1850.0,0.0,pre
359.966,1850.0,0.0,pre
364.965,1850.0,0.0,pre
369.965,1850.0,0.0,pre
374.964,1850.0,0.0,pre
379.964,1850.0,0.0,pre
384.963,1850.0,0.0,pre
389.963,1850.0,0.0,pre
394.962,1850.0,0.0,pre
399.962,1930.0,0.0,pre
404.961,1930.0,0.0,pre
409.961,1930.0,0.0,pre
414.96,1850.0,0.0,pre
419.96,1850.0,0.0,pre
424.959,1850.0,0.0,pre
429.959,1850.0,0.0,pre
434.958,1850.0,0.0,pre
439.958,1850.0,0.0,pre
444.957,1850.0,0.0,pre
449.957,1850.0,0.0,pre
454.956,1850.0,0.0,pre
459.956,1850.0,0.0,pre
464.955,1850.0,0.0,pre
469.955,1850.0,0.0,pre
474.954,1850.0,0.0,pre
479.954,1850.0,0.0,pre
484.953,1850.0,0.0,pre
489.953,1850.0,0.0,pre
494.952,1850.0,0.0,pre
499.952,1850.0,0.0,pre
504.951,1850.0,0.0,pre
509.951,1850.0,0.0,pre
514.95,1850.0,0.0,pre
519.95,1850.0,0.0,pre
524.949,1850.0,0.0,pre
529.949,1850.0,0.0,pre
534.949,1850.0,0.0,pre
539.948,1850.0,0.0,pre
544.948,1850.0,0.0,pre
549.947,1780.0,0.0,pre
554.947,1780.0,0.0,pre
559.946,1780.0,0.0,pre
564.946,1850.0,0.0,pre
569.945,1850.0,0.0,pre
574.945,1850.0,0.0,pre
579.944,1850.0,0.0,pre
584.944,1850.0,0.0,pre
589.943,1850.0,0.0,pre
594.943,1850.0,0.0,pre
599.942,1850.0,373.34072178539867,load
604.942,1850.0,102.49384702387115,load
609.941,2000.0,95.49710955359915,load
614.941,2000.0,95.49937370121717,load
619.94,2000.0,95.48001417704583,load
624.94,1930.0,95.53836104394752,load
629.939,1930.0,95.49129571433177,load
634.939,1930.0,95.48345449176894,load
639.938,1930.0,95.4869403266362,load
644.938,1930.0,102.43595381473152,load
649.937,1930.0,95.45845448216552,load
654.937,2000.0,95.47013822991268,load
659.936,2000.0,95.54812418660102,load
664.936,2000.0,95.4734330025742,load
669.935,2000.0,95.48007754902306,load
674.935,2000.0,95.50171947138097,load
679.934,2000.0,95.4667079252976,load
684.934,2000.0,95.46587527639818,load
689.933,2000.0,95.48254912175268,load
694.933,2000.0,95.49488173713684,load
699.932,2000.0,95.47069941138575,load
704.932,2000.0,95.51517138232704,load
709.932,2000.0,95.56152569410769,load
714.931,1930.0,95.45515169479741,load
719.931,1930.0,95.39234272855906,load
724.93,1930.0,95.49768010868044,load
729.93,2000.0,126.95151686835982,load
734.929,2000.0,95.51473651381909,load
739.929,2000.0,95.54019204774808,load
744.928,2000.0,95.5267693367828,load
749.928,2000.0,95.51282495129708,load
754.927,2000.0,95.45814681560658,load
759.927,1930.0,95.46070774770756,load
764.926,1930.0,95.51162913118347,load
769.926,1930.0,95.57377894036406,load
774.925,1930.0,95.49050791207256,load
779.925,1930.0,95.48324625514483,load
784.924,1930.0,95.50964522295276,load
789.924,2000.0,95.47313429128316,load
794.923,2000.0,95.49857670901133,load
799.923,2000.0,95.57979334098737,load
804.922,2000.0,95.55201368217023,load
809.922,2000.0,63.83030916617495,load
814.921,2000.0,101.42655262988323,load
819.921,2000.0,95.46682558337854,load
824.92,2000.0,95.46583002415676,load
829.92,2000.0,95.56274997046262,load
834.919,2000.0,95.52000956156252,load
839.919,2000.0,95.53441827900066,load
844.918,2000.0,95.53809818282627,load
849.918,2000.0,95.4454075418584,load
854.917,2000.0,95.42431559753628,load
859.917,2000.0,95.50226290948105,load
864.916,2000.0,95.46848187790934,load
869.916,2000.0,95.44901726067485,load
874.916,2000.0,95.52938832720261,load
