ElapsedSeconds,Throughput_Ethernet_Mbps,Throughput_Ethernet_6_Mbps
0,0,0
5,0,0
9.999,0,0
14.999,0,0
19.999,0,0
24.998,0,0
29.998,0,0
34.997,0,0
39.997,0,0
44.996,0,0
49.996,0,0
54.995,0,0
59.995,0,0
64.994,0,0
69.994,0,0
74.993,0,0
79.993,0,0
84.992,0,0
89.992,0,0
94.991,0,0
99.991,0,0
104.99,0,0
109.99,0,0
114.989,0,0
119.989,0,0
124.988,0,0
129.988,0,0
134.987,0,0
139.987,0,0
144.986,0,0
149.986,0,0
154.985,0,0
159.985,0,0
164.984,0,0
169.984,0,0
174.983,0,0
179.983,0,0
184.982,0,0
189.982,0,0
194.982,0,0
199.981,0,0
204.981,0,0
209.98,0,0
214.98,0,0
219.979,0,0
224.979,0,0
229.978,0,0
234.978,0,0
239.977,0,0
244.977,0,0
249.976,0,0
254.976,0,0
259.975,0,0
264.975,0,0
269.974,0,0
274.974,0,0
279.973,0,0
284.973,0,0
289.972,0,0
294.972,0,0
299.971,0,0
304.971,0,0
309.97,0,0
314.97,0,0
319.969,0,0
324.969,0,0
329.968,0,0
334.968,0,0
339.967,0,0
344.967,0,0
349.966,0,0
354.966,0,0
359.966,0,0
364.965,0,0
369.965,0,0
374.964,0,0
379.964,0,0
384.963,0,0
389.963,0,0
394.962,0,0
399.962,0,0
404.961,0,0
409.961,0,0
414.96,0,0
419.96,0,0
424.959,0,0
429.959,0,0
434.958,0,0
439.958,0,0
444.957,0,0
449.957,0,0
454.956,0,0
459.956,0,0
464.955,0,0
469.955,0,0
474.954,0,0
479.954,0,0
484.953,0,0
489.953,0,0
494.952,0,0
499.952,0,0
504.951,0,0
509.951,0,0
514.95,0,0
519.95,0,0
524.949,0,0
529.949,0,0
534.949,0,0
539.948,0,0
544.948,0,0
549.947,0,0
554.947,0,0
559.946,0,0
564.946,0,0
569.945,0,0
574.945,0,0
579.944,0,0
584.944,0,0
589.943,0,0
594.943,0,0
599.942,373.34072178539867,0
604.942,102.49384702387115,0
609.941,95.49710955359915,0
614.941,95.49937370121717,0
619.94,95.48001417704583,0
624.94,95.53836104394752,0
629.939,95.49129571433177,0
634.939,95.48345449176894,0
639.938,95.4869403266362,0
644.938,102.43595381473152,0
649.937,95.45845448216552,0
654.937,95.47013822991268,0
659.936,95.54812418660102,0
664.936,95.4734330025742,0
669.935,95.48007754902306,0
674.935,95.50171947138097,0
679.934,95.4667079252976,0
684.934,95.46587527639818,0
689.933,95.48254912175268,0
694.933,95.49488173713684,0
699.932,95.47069941138575,0
704.932,95.51517138232704,0
709.932,95.56152569410769,0
714.931,95.45515169479741,0
719.931,95.39234272855906,0
724.93,95.49768010868044,0
729.93,126.95151686835982,0
734.929,95.51473651381909,0
739.929,95.54019204774808,0
744.928,95.5267693367828,0
749.928,95.51282495129708,0
754.927,95.45814681560658,0
759.927,95.46070774770756,0
764.926,95.51162913118347,0
769.926,95.57377894036406,0
774.925,95.49050791207256,0
779.925,95.48324625514483,0
784.924,95.50964522295276,0
789.924,95.47313429128316,0
794.923,95.49857670901133,0
799.923,95.57979334098737,0
804.922,95.55201368217023,0
809.922,63.83030916617495,0
814.921,101.42655262988323,0
819.921,95.46682558337854,0
824.92,95.46583002415676,0
829.92,95.56274997046262,0
834.919,95.52000956156252,0
839.919,95.53441827900066,0
844.918,95.53809818282627,0
849.918,95.4454075418584,0
854.917,95.42431559753628,0
859.917,95.50226290948105,0
864.916,95.46848187790934,0
869.916,95.44901726067485,0
874.916,95.52938832720261,0
879.915,95.48149891404339,0
884.915,95.46294301983065,0
889.914,95.5289714540659,0
894.914,95.4447019144445,0
899.913,95.55163287841094,0
904.913,95.49673824363698,0
909.913,95.49274458000876,0
914.912,95.51595959159063,0
919.912,95.52131432301789,0
924.912,95.50961804669993,0
929.911,95.48761036042166,0
934.911,95.51412045687792,0
939.911,95.52099719021855,0
944.91,95.46163080285956,0
949.91,95.44399629746385,0
954.91,95.46327786717985,0
959.909,95.46435482458119,0
964.909,95.44121916273976,0
969.909,489.54045300205985,0
974.908,95.48682261896928,0
979.908,95.5719285078332,0
984.908,95.51539787790985,0
989.907,95.53405574224006,0
994.907,95.52608969145777,0
999.907,95.5535459946425,0
1004.906,95.43568346755563,0
1009.906,2527.295881689963,0
1014.906,95.47752463022077,0
1019.905,95.50084092620051,0
1024.905,95.51859611020903,0
1029.904,95.53415543957493,0
1034.904,95.42277838466431,0
1039.904,95.51227233373525,0
1044.903,95.51152948085893,0
1049.903,485.2430260385461,0
1054.903,95.53002270634815,0
1059.902,95.41897173538737,0
1064.902,95.56228746237501,0
1069.902,95.49963634929018,0
1074.901,95.4597032667954,0
1079.901,95.51715552014342,0
1084.901,95.43614475096085,0
1089.9,95.47846611630052,0
1094.9,95.51336851579298,0
1099.9,95.52492978577297,0
1104.899,95.5377537463051,0
1109.899,95.44308262943896,0
1114.899,95.4531882281681,0
1119.898,95.4860258362395,0
1124.898,95.46348601671602,0
1129.898,95.56610555535784,0
1134.897,95.55885053271872,0
1139.897,95.49106933304127,0
1144.896,95.52987770465778,0
1149.896,95.49936464441284,0
1154.896,95.52856364690919,0
1159.895,95.43336807312433,0
1164.895,95.48877841477507,0
1169.895,95.46449962742953,0
1174.894,73.36510181619775,0
1179.894,95.47406663877322,0
1184.894,95.46329596710348,0
1189.893,95.47969731842146,0
1194.893,95.53235185632123,0
1199.893,95.441988060084,0
1204.892,95.50375739614667,0
1209.892,95.44832967413568,0
1214.892,71.94858243376052,0
1219.891,102.07180550088283,0
1224.891,95.53939437409863,0
1229.891,95.40712875981211,0
1234.89,95.50508888730185,0
1239.89,95.4871666883498,0
1244.89,95.44614031983147,0
1249.889,95.52962395275884,0
1254.889,95.52028138392629,0
1259.888,95.5106960499232,0
1264.888,95.56342106858973,0
1269.888,95.4894665842056,0
1274.887,95.44292884545175,0
1279.887,95.5025980327257,0
1284.887,95.41935148248454,0
1289.886,95.47808589853321,0
1294.886,95.52739461902338,0
1299.886,95.46230048149594,0
1304.885,95.4929528580642,0
1309.885,95.45401160756545,0
1314.885,95.42470442981676,0
1319.884,95.42633213422451,0
1324.884,95.44460240372553,0
1329.884,95.4735416253253,0
1334.883,95.48419690799423,0
1339.883,95.523253409363,0
1344.883,95.47384939112894,0
1349.882,95.45360444015401,0
1354.882,95.51107652745905,0
1359.882,95.49938275802323,0
1364.881,95.48112772546502,0
1369.881,95.53024927237057,0
1374.88,491.84497423921715,0
1379.88,95.47675516019457,0
1384.88,95.45488024298626,0
1389.879,95.5265246633517,0
1394.879,95.55276623185858,0
1399.879,95.51029745766073,0
1404.878,95.5111399406764,0
1409.878,95.49096067040308,0
1414.878,483.92729240900275,0
1419.877,95.47020158878088,0
1424.877,95.48629746522167,0
1429.877,95.4953073688349,0
1434.876,95.51004380977132,0
1439.876,95.5001344789141,0
1444.876,95.44097492735244,0
1449.875,95.47939856793037,0
1454.875,95.50903829032343,0
1459.875,95.47431104355482,0
1464.874,95.47036451197097,0
1469.874,95.47614864550316,0
1474.874,95.47701768386844,0
1479.873,95.49324263773967,0
1484.873,95.52634342458117,0
1489.872,95.56453656335808,0
1494.872,95.48513852566741,0
1499.872,95.55476099922795,0
1504.871,95.48575420880275,0
1509.871,95.50477186223077,0
1514.871,95.51997331869755,0
1519.87,95.53236091938342,0
1524.87,95.49899331691408,0
1529.87,95.46795692588081,0
1534.869,95.47620295993751,0
1539.869,72.64765807916912,0
1544.869,95.55595789962729,0
1549.868,95.4429017071525,0
1554.868,95.56781971533282,0
1559.868,95.48231372836081,0
1564.867,95.5353608874556,0
1569.867,95.42917170706329,0
1574.867,95.45548648749077,0
1579.866,72.2149512670705,0
1584.866,95.57052258984316,0
1589.866,95.45431019920818,0
1594.865,95.43023885137092,0
1599.865,95.49904765734328,0
1604.864,95.53914057163978,0
1609.864,95.46649976171106,0
1614.864,95.50283352614248,0
1619.863,95.49662051181285,0
1624.863,95.53570530672327,0
1629.863,95.4760219120633,0
1634.862,95.49606808174566,0
1639.862,95.5513064776045,0
1644.862,95.5129699012244,0
1649.861,95.50178287217396,0
1654.861,95.48732061492805,0
1659.861,95.44214184103951,0
1664.86,95.41249841649052,0
1669.86,95.48563650406007,0
1674.86,95.46603818482258,0
1679.859,95.47212954883989,0
1684.859,95.55433483738508,0
1689.859,95.50936440241915,0
1694.858,95.55675584988492,0
1699.858,95.50018882064202,0
1704.858,95.4750895263848,0
1709.857,95.53371133486606,0
1714.857,95.49822350081061,0
1719.857,95.5730442012232,0
1724.856,95.54603903964366,0
1729.856,95.56727553090083,0
1734.855,95.491087443505,0
1739.855,95.46083444049505,0
1744.855,95.51063263729526,0
1749.854,95.55426229957763,0
1754.854,95.48073843322733,0
1759.854,95.52711369410551,0
1764.853,95.50396572224474,0
1769.853,95.49721823023187,0
1774.853,95.49448327685806,0
1779.852,95.48611637906184,0
1784.852,95.49113271969443,0
1789.852,95.48916777257656,0
1794.851,95.50940063723391,0
1799.851,95.50118509661344,288.83376432147844
1804.851,95.48091044568508,95.48072032668888
1809.85,95.49493607288701,95.48662342204021
1814.85,95.54100786412158,95.53779906675811
1819.85,102.99597094804557,95.47758799889333
1824.849,95.48167092924126,95.48079275288389
1829.849,95.49932841721268,95.43170395277089
1834.849,95.52623468164894,95.44803111990718
1839.848,95.47765136765,95.46505169231871
1844.848,95.52942457721252,95.4506096043792
1849.847,95.46282537131968,95.5035128405825
1854.847,95.48809930992942,95.46184799490132
1859.847,102.4943623850896,95.52850927288472
1864.846,95.49126854852025,95.50046053020911
1869.846,95.47410284681006,95.53374758815691
1874.846,95.48729345137819,95.51661191254327
1879.845,95.43827033014797,95.51306049515237
1884.845,95.4268385424766,95.50024316243174
