ElapsedSeconds,PowerMW,ThroughputTotalMbps,Phase
0.0,8150.0,0.0,pre
5.0,8150.0,0.0,pre
10.0,8150.0,0.0,pre
15.0,8150.0,0.0,pre
20.0,8150.0,0.0,pre
25.0,8150.0,0.0,pre
30.0,8360.0,0.0,pre
35.0,8360.0,0.0,pre
40.0,8360.0,0.0,pre
45.0,8150.0,0.0,pre
50.0,8150.0,0.0,pre
55.0,8150.0,0.0,pre
60.0,8150.0,0.0,pre
65.0,8150.0,0.0,pre
70.0,8150.0,0.0,pre
75.0,8150.0,0.0,pre
80.0,8150.0,0.0,pre
85.0,8360.0,0.0,pre
90.0,8360.0,0.0,pre
95.0,8360.0,0.0,pre
100.0,8150.0,0.0,pre
105.0,8150.0,0.0,pre
110.0,8150.0,0.0,pre
115.0,8220.0,0.0,pre
120.0,8220.0,0.0,pre
125.0,8220.0,0.0,pre
130.0,8150.0,0.0,pre
135.0,8150.0,0.0,pre
140.0,8150.0,0.0,pre
145.0,8360.0,0.0,pre
150.0,8360.0,0.0,pre
155.0,8360.0,0.0,pre
160.0,8150.0,0.0,pre
165.0,8150.0,0.0,pre
170.0,8150.0,0.0,pre
175.0,8150.0,0.0,pre
180.0,8220.0,0.0,pre
185.0,8220.0,0.0,pre
190.0,8220.0,0.0,pre
195.0,8220.0,0.0,pre
200.0,8220.0,0.0,pre
205.0,8220.0,0.0,pre
210.0,8220.0,0.0,pre
215.0,8220.0,0.0,pre
220.0,8150.0,0.0,pre
225.0,8150.0,0.0,pre
230.0,8150.0,0.0,pre
235.0,8360.0,0.0,pre
240.0,8360.0,0.0,pre
245.0,8360.0,0.0,pre
250.0,8150.0,0.0,pre
255.0,8150.0,0.0,pre
260.0,8150.0,0.0,pre
265.0,8150.0,0.0,pre
270.0,8150.0,0.0,pre
275.0,8150.0,0.0,pre
280.0,8220.0,0.0,pre
285.0,8220.0,0.0,pre
290.0,8220.0,0.0,pre
295.0,8360.0,0.0,pre
300.0,8360.0,0.0,pre
305.0,8360.0,0.0,pre
310.0,8150.0,0.0,pre
315.0,8150.0,0.0,pre
320.0,8150.0,0.0,pre
325.0,8150.0,0.0,pre
330.0,8150.0,0.0,pre
335.0,8150.0,0.0,pre
340.0,8220.0,0.0,pre
345.0,8220.0,0.0,pre
350.0,8220.0,0.0,pre
355.0,8220.0,0.0,pre
360.0,8360.0,0.0,pre
365.0,8360.0,0.0,pre
370.0,8360.0,0.0,pre
375.0,8150.0,0.0,pre
380.0,8150.0,0.0,pre
385.0,8360.0,0.0,pre
390.0,8360.0,0.0,pre
395.0,8360.0,0.0,pre
400.0,8360.0,0.0,pre
405.0,8150.0,0.0,pre
410.0,8150.0,0.0,pre
415.0,8290.0,0.0,pre
420.0,8290.0,0.0,pre
425.0,8290.0,0.0,pre
430.0,8220.0,0.0,pre
435.0,8220.0,0.0,pre
440.0,8220.0,0.0,pre
445.0,8290.0,0.0,pre
450.0,8290.0,0.0,pre
455.0,8290.0,0.0,pre
460.0,8220.0,0.0,pre
465.0,8220.0,0.0,pre
470.0,8220.0,0.0,pre
475.0,8150.0,0.0,pre
480.0,8150.0,0.0,pre
485.0,8150.0,0.0,pre
490.0,8220.0,0.0,pre
495.0,8220.0,0.0,pre
500.0,8220.0,0.0,pre
505.0,8360.0,0.0,pre
510.0,8360.0,0.0,pre
515.0,8360.0,0.0,pre
520.0,8220.0,0.0,pre
525.0,8220.0,0.0,pre
530.0,8220.0,0.0,pre
535.0,8220.0,0.0,pre
540.0,8220.0,0.0,pre
545.0,8220.0,0.0,pre
550.0,8220.0,0.0,pre
555.0,8150.0,0.0,pre
560.0,8150.0,0.0,pre
565.0,8150.0,0.0,pre
570.0,8360.0,0.0,pre
575.0,8360.0,0.0,pre
580.0,8360.0,0.0,pre
585.0,8150.0,0.0,pre
590.0,8150.0,0.0,pre
595.0,8220.0,0.0,pre
600.0,8220.0,954.5900117246538,load
605.0,8220.0,954.9546756722128,load
610.0,8220.0,954.827564187512,load
615.0,8650.0,955.212843281014,load
620.0,8650.0,954.771653345595,load
625.0,8790.0,954.5732554906866,load
630.0,8790.0,954.9409044074749,load
635.0,8790.0,954.878610791159,load
640.0,8650.0,955.5392431236654,load
645.0,8650.0,954.6489908584025,load
650.0,8650.0,954.277731043297,load
655.0,8790.0,955.3511210702477,load
660.0,8790.0,955.4719007952959,load
665.0,8790.0,955.2677746133716,load
670.0,8720.0,954.2102857909139,load
675.0,8720.0,955.2950551483395,load
680.0,8720.0,955.2664621870553,load
685.0,8720.0,954.9683536480323,load
690.0,8720.0,954.877955112107,load
695.0,8720.0,954.6533911811529,load
700.0,8650.0,954.9426843445119,load
705.0,8650.0,954.7417807221577,load
710.0,8650.0,954.8399272677124,load
715.0,8650.0,954.9644188477196,load
720.0,8650.0,954.3790571563311,load
725.0,8650.0,954.7839213280308,load
730.0,8720.0,954.9458695115601,load
735.0,8720.0,954.3511739563688,load
740.0,8720.0,954.9209508306142,load
745.0,8720.0,954.966386243823,load
750.0,8720.0,955.2725556254495,load
755.0,8720.0,954.4948179275966,load
760.0,8720.0,955.2338401775074,load
765.0,8650.0,954.7897276586403,load
770.0,8650.0,954.3497704826614,load
775.0,8860.0,955.3353694442044,load
780.0,8860.0,955.8781622247749,load
785.0,8860.0,955.3086491236937,load
790.0,8720.0,955.0826643809648,load
795.0,8720.0,955.003018766189,load
800.001,8720.0,955.0849133911668,load
805.0,8720.0,954.9754738453087,load
810.0,8720.0,954.650582459821,load
815.0,8720.0,954.4746958096388,load
820.0,8650.0,954.988121825967,load
825.0,8650.0,954.431740266479,load
830.0,8650.0,954.4583179678475,load
835.0,8720.0,954.7783960144787,load
840.0,8720.0,955.1946592147611,load
845.0,8720.0,955.0299093883525,load
850.0,8720.0,954.4610319713486,load
855.0,8720.0,954.6253047115414,load
860.0,8720.0,954.3569750248191,load
865.0,8720.0,955.5951500943888,load
870.0,8720.0,955.7122382341212,load
875.0,8720.0,955.165697363502,load
880.0,8650.0,955.1833179569937,load
885.0,8650.0,954.7695931046536,load
890.0,8650.0,955.0493990087332,load
895.0,8650.0,954.7669709926784,load
900.0,8720.0,955.1876294778026,load
905.0,8720.0,955.6202916027983,load
910.0,8720.0,955.1803186611263,load
915.0,8720.0,955.2273722851216,load
920.0,8720.0,955.1377681802072,load
925.0,8720.0,955.0179161711754,load
930.0,8790.0,954.5605248905358,load
935.0,8790.0,954.5946923420453,load
940.0,8790.0,954.6465566547336,load
945.0,8650.0,954.8593154700013,load
950.0,8650.0,955.3458704705196,load
955.0,8650.0,955.1027184291123,load
960.0,8720.0,955.1253973860826,load
965.0,8720.0,954.5022118492047,load
970.0,8650.0,955.646841721301,load
975.0,8650.0,954.3391042173836,load
980.0,8650.0,955.0044241618988,load
985.0,8860.0,954.9697589417165,load
990.0,8860.0,955.5325835011328,load
995.0,8860.0,955.2486510436166,load
1000.0,8720.0,955.1911911982635,load
