ElapsedSeconds,Throughput_Ethernet_Mbps,Throughput_Ethernet_5_Mbps,Throughput_Ethernet_6_Mbps,Throughput_Ethernet_7_Mbps
0,0,0,0,0
5,0,0,0,0
10,0,0,0,0
15,0,0,0,0
20,0,0,0,0
25,0,0,0,0
30,0,0,0,0
35,0,0,0,0
40,0,0,0,0
45,0,0,0,0
50,0,0,0,0
55,0,0,0,0
60,0,0,0,0
65,0,0,0,0
70,0,0,0,0
75,0,0,0,0
80,0,0,0,0
85,0,0,0,0
90,0,0,0,0
95,0,0,0,0
100,0,0,0,0
105,0,0,0,0
110,0,0,0,0
115,0,0,0,0
120,0,0,0,0
125,0,0,0,0
130,0,0,0,0
135,0,0,0,0
140,0,0,0,0
145,0,0,0,0
150,0,0,0,0
155,0,0,0,0
160,0,0,0,0
165,0,0,0,0
170,0,0,0,0
175,0,0,0,0
180,0,0,0,0
185,0,0,0,0
190,0,0,0,0
195,0,0,0,0
200,0,0,0,0
205,0,0,0,0
210,0,0,0,0
215,0,0,0,0
220,0,0,0,0
225,0,0,0,0
230,0,0,0,0
235,0,0,0,0
240,0,0,0,0
245,0,0,0,0
250,0,0,0,0
255,0,0,0,0
260,0,0,0,0
265,0,0,0,0
270,0,0,0,0
275,0,0,0,0
280,0,0,0,0
285,0,0,0,0
290,0,0,0,0
295,0,0,0,0
300,0,0,0,0
305,0,0,0,0
310,0,0,0,0
315,0,0,0,0
320,0,0,0,0
325,0,0,0,0
330,0,0,0,0
335,0,0,0,0
340,0,0,0,0
345,0,0,0,0
350,0,0,0,0
355,0,0,0,0
360,0,0,0,0
365,0,0,0,0
370,0,0,0,0
375,0,0,0,0
380,0,0,0,0
385,0,0,0,0
390,0,0,0,0
395,0,0,0,0
400,0,0,0,0
405,0,0,0,0
410,0,0,0,0
415,0,0,0,0
420,0,0,0,0
425,0,0,0,0
430,0,0,0,0
435,0,0,0,0
440,0,0,0,0
445,0,0,0,0
450,0,0,0,0
455,0,0,0,0
460,0,0,0,0
465,0,0,0,0
470,0,0,0,0
475,0,0,0,0
480,0,0,0,0
485,0,0,0,0
490,0,0,0,0
495,0,0,0,0
500,0,0,0,0
505,0,0,0,0
510,0,0,0,0
515,0,0,0,0
520,0,0,0,0
525,0,0,0,0
530,0,0,0,0
535,0,0,0,0
540,0,0,0,0
545,0,0,0,0
550,0,0,0,0
555,0,0,0,0
560,0,0,0,0
565,0,0,0,0
570,0,0,0,0
575,0,0,0,0
580,0,0,0,0
585,0,0,0,0
590,0,0,0,0
595,0,0,0,0
600,954.5900117246538,18441.886299625196,0,0
605,954.9546756722128,18441.886299625196,0,0
610,954.827564187512,18441.886299625196,0,0
615,955.212843281014,18441.886299625196,0,0
620,954.771653345595,18441.886299625196,0,0
625,954.5732554906866,18441.886299625196,0,0
630,954.9409044074749,18441.886299625196,0,0
635,954.878610791159,18441.886299625196,0,0
640,955.5392431236654,18441.886299625196,0,0
645,954.6489908584025,18441.886299625196,0,0
650,954.277731043297,18441.886299625196,0,0
655,955.3511210702477,18441.886299625196,0,0
660,955.4719007952959,18441.886299625196,0,0
665,955.2677746133716,18441.886299625196,0,0
670,954.2102857909139,18441.886299625196,0,0
675,955.2950551483395,18441.886299625196,0,0
680,955.2664621870553,18441.886299625196,0,0
685,954.9683536480323,18441.886299625196,0,0
690,954.877955112107,18441.886299625196,0,0
695,954.6533911811529,18441.886299625196,0,0
700,954.9426843445119,18441.886299625196,0,0
705,954.7417807221577,18441.886299625196,0,0
710,954.8399272677124,18441.886299625196,0,0
715,954.9644188477196,18441.886299625196,0,0
720,954.3790571563311,18441.886299625196,0,0
725,954.7839213280308,18441.886299625196,0,0
730,954.9458695115601,18441.886299625196,0,0
735,954.3511739563688,18441.886299625196,0,0
740,954.9209508306142,18441.886299625196,0,0
745,954.966386243823,18441.886299625196,0,0
750,955.2725556254495,18441.886299625196,0,0
755,954.4948179275966,18441.886299625196,0,0
760,955.2338401775074,18441.886299625196,0,0
765,954.7897276586403,18441.886299625196,0,0
770,954.3497704826614,18441.886299625196,0,0
775,955.3353694442044,18441.886299625196,0,0
780,955.8781622247749,18441.886299625196,0,0
785,955.3086491236937,18441.886299625196,0,0
790,955.0826643809648,18441.886299625196,0,0
795,955.003018766189,18441.886299625196,0,0
800.001,955.0849133911668,18441.886299625196,0,0
805,954.9754738453087,18441.886299625196,0,0
810,954.650582459821,18441.886299625196,0,0
815,954.4746958096388,18441.886299625196,0,0
820,954.988121825967,18441.886299625196,0,0
825,954.431740266479,18441.886299625196,0,0
830,954.4583179678475,18441.886299625196,0,0
835,954.7783960144787,18441.886299625196,0,0
840,955.1946592147611,18441.886299625196,0,0
845,955.0299093883525,18441.886299625196,0,0
850,954.4610319713486,18441.886299625196,0,0
855,954.6253047115414,18441.886299625196,0,0
860,954.3569750248191,18441.886299625196,0,0
865,955.5951500943888,18441.886299625196,0,0
870,955.7122382341212,18441.886299625196,0,0
875,955.165697363502,18441.886299625196,0,0
880,955.1833179569937,18441.886299625196,0,0
885,954.7695931046536,18441.886299625196,0,0
890,955.0493990087332,18441.886299625196,0,0
895,954.7669709926784,18441.886299625196,0,0
900,955.1876294778026,18441.886299625196,0,0
905,955.6202916027983,18441.886299625196,0,0
910,955.1803186611263,18441.886299625196,0,0
915,955.2273722851216,18441.886299625196,0,0
920,955.1377681802072,18441.886299625196,0,0
925,955.0179161711754,18441.886299625196,0,0
930,954.5605248905358,18441.886299625196,0,0
935,954.5946923420453,18441.886299625196,0,0
940,954.6465566547336,18441.886299625196,0,0
945,954.8593154700013,18441.886299625196,0,0
950,955.3458704705196,18441.886299625196,0,0
955,955.1027184291123,18441.886299625196,0,0
960,955.1253973860826,18441.886299625196,0,0
965,954.5022118492047,18441.886299625196,0,0
970,955.646841721301,18441.886299625196,0,0
975,954.3391042173836,18441.886299625196,0,0
980,955.0044241618988,18441.886299625196,0,0
985,954.9697589417165,18441.886299625196,0,0
990,955.5325835011328,18441.886299625196,0,0
995,955.2486510436166,18441.886299625196,0,0
1000,955.1911911982635,18441.886299625196,0,0
1005,954.9784718548739,18441.886299625196,0,0
1010,954.9315364271687,18441.886299625196,0,0
1015,955.1594178410335,18441.886299625196,0,0
1020,954.3488348358164,18441.886299625196,0,0
1025,955.1201492672045,18441.886299625196,0,0
1030,954.9480241954352,18441.886299625196,0,0
1035,954.8280324801707,18441.886299625196,0,0
1040,955.2051571479193,18441.886299625196,0,0
1045,955.4052243607201,18441.886299625196,0,0
1050,955.297023907019,18441.886299625196,0,0
1055,954.4294943313731,18441.886299625196,0,0
1060,955.3021802182082,18441.886299625196,0,0
1065,954.4832125095002,18441.886299625196,0,0
1070,954.2673470340064,18441.886299625196,0,0
1075,954.5295422752114,18441.886299625196,0,0
1080,954.9498978414914,18441.886299625196,0,0
1085,954.4021696342002,18441.886299625196,0,0
1090,955.1835054136108,18441.886299625196,0,0
1095,955.2593376499767,18441.886299625196,0,0
1100,954.8510730462459,18441.886299625196,0,0
1105,954.5969390546974,18441.886299625196,0,0
1110,955.332837981323,18441.886299625196,0,0
1115,955.6753636335523,18441.886299625196,0,0
1120,954.792068940962,18441.886299625196,0,0
1125,955.7372920670688,18441.886299625196,0,0
1130,955.4702126694726,18441.886299625196,0,0
1135,954.1970971958575,18441.886299625196,0,0
1140,954.9255410162302,18441.886299625196,0,0
1145,955.115369780548,18441.886299625196,0,0
1150,955.1030932791515,18441.886299625196,0,0
1155,955.4114133425672,18441.886299625196,0,0
1160,955.1829430439802,18441.886299625196,0,0
1165,954.1302244705323,18441.886299625196,0,0
1170,955.5681338286373,18441.886299625196,0,0
1175,955.3968787394355,18441.886299625196,0,0
1180,954.7229591200224,18441.886299625196,0,0
1185,955.045932046943,18441.886299625196,0,0
1190,955.0666404898556,18441.886299625196,0,0
1195,954.9288197472595,18441.886299625196,0,0
1200,954.3336776125228,18441.886299625196,0,0
1205,954.9406233653915,18441.886299625196,0,0
1210,955.466179948596,18441.886299625196,0,0
1215,954.9201077400938,18441.886299625196,0,0
1220,954.8342139863153,18441.886299625196,0,0
1225,954.9964603075687,18441.886299625196,0,0
1230,954.5353455123113,18441.886299625196,0,0
1235,954.5220543316059,18441.886299625196,0,0
1240,954.7704359294188,18441.886299625196,0,0
1245,954.6851308808097,18441.886299625196,0,0
1250,954.8985625986056,18441.886299625196,0,0
1255,954.5345967035591,18441.886299625196,0,0
1260,955.0318770543095,18441.886299625196,0,0
1265,955.3515898766016,18441.886299625196,0,0
1270,954.4051640452263,18441.886299625196,0,0
1275,954.9797834899776,18441.886299625196,0,0
1280,954.9067121682365,18441.886299625196,0,0
1285,954.699643835979,18441.886299625196,0,0
1290,954.4233180643346,18441.886299625196,0,0
1295,955.2313092526645,18441.886299625196,0,0
1300,955.6141937273736,18441.886299625196,0,0
1305,954.819228655045,18441.886299625196,0,0
1310,954.3776536006122,18441.886299625196,0,0
1315,954.356694326335,18441.886299625196,0,0
