ElapsedSeconds,Throughput_Ethernet_Mbps,Throughput_Ethernet_5_Mbps,Throughput_Ethernet_6_Mbps,Throughput_Ethernet_7_Mbps
0,0,0,0,0
5,0,0,0,0
10,0,0,0,0
15,0,0,0,0
20,0,0,0,0
25,0,0,0,0
30,0,0,0,0
35,0,0,0,0
40,0,0,0,0
45,0,0,0,0
50,0,0,0,0
55,0,0,0,0
60,0,0,0,0
65,0,0,0,0
70,0,0,0,0
75,0,0,0,0
80,0,0,0,0
85,0,0,0,0
90,0,0,0,0
95,0,0,0,0
100,0,0,0,0
105,0,0,0,0
110,0,0,0,0
115,0,0,0,0
120,0,0,0,0
125,0,0,0,0
130,0,0,0,0
135,0,0,0,0
140,0,0,0,0
145,0,0,0,0
150,0,0,0,0
155,0,0,0,0
160,0,0,0,0
165,0,0,0,0
170,0,0,0,0
175,0,0,0,0
180,0,0,0,0
185,0,0,0,0
190,0,0,0,0
195,0,0,0,0
200,0,0,0,0
205,0,0,0,0
210,0,0,0,0
215,0,0,0,0
220,0,0,0,0
225,0,0,0,0
230,0,0,0,0
235,0,0,0,0
240,0,0,0,0
245,0,0,0,0
250,0,0,0,0
255,0,0,0,0
260,0,0,0,0
265,0,0,0,0
270,0,0,0,0
275,0,0,0,0
280,0,0,0,0
285,0,0,0,0
290,0,0,0,0
295,0,0,0,0
300,0,0,0,0
305,0,0,0,0
310,0,0,0,0
315,0,0,0,0
320,0,0,0,0
325,0,0,0,0
330,0,0,0,0
335,0,0,0,0
340,0,0,0,0
345,0,0,0,0
350,0,0,0,0
355,0,0,0,0
360,0,0,0,0
365,0,0,0,0
370,0,0,0,0
375,0,0,0,0
380,0,0,0,0
385,0,0,0,0
390,0,0,0,0
395,0,0,0,0
400,0,0,0,0
405,0,0,0,0
410,0,0,0,0
415,0,0,0,0
420,0,0,0,0
425,0,0,0,0
430,0,0,0,0
435,0,0,0,0
440,0,0,0,0
445,0,0,0,0
450,0,0,0,0
455,0,0,0,0
460,0,0,0,0
465,0,0,0,0
470,0,0,0,0
475,0,0,0,0
480,0,0,0,0
485,0,0,0,0
490,0,0,0,0
495,0,0,0,0
500,0,0,0,0
505,0,0,0,0
510,0,0,0,0
515,0,0,0,0
520,0,0,0,0
525,0,0,0,0
530,0,0,0,0
535,0,0,0,0
540,0,0,0,0
545,0,0,0,0
550,0,0,0,0
555,0,0,0,0
560,0,0,0,0
565,0,0,0,0
570,0,0,0,0
575,0,0,0,0
580,0,0,0,0
585,0,0,0,0
590,0,0,0,0
595,0,0,0,0
600,955.0253181993173,0,0,0
605,955.410006748743,0,0,0
610,955.0033935379738,0,0,0
615,954.9617019807135,0,0,0
620,954.336578031581,0,0,0
625,955.0080782101027,0,0,0
630,955.2239977673429,0,0,0
635,955.033563631583,0,0,0
640,954.8583788237719,0,0,0
645,954.8526653215638,0,0,0
650,954.7521750593198,0,0,0
655,955.4045679582576,0,0,0
660,955.4028800703528,0,0,0
665,954.5503219340756,0,0,0
670,954.4391332108629,0,0,0
675,955.4011921884119,0,0,0
680,955.2893364191488,0,0,0
685,955.1953153288232,0,0,0
690,954.9455884665541,0,0,0
695,955.1634479728284,0,0,0
700,954.5272958797942,0,0,0
705,954.4672087265071,0,0,0
710,955.0649537957536,0,0,0
715,954.8311232232383,0,0,0
720,954.8775804387672,0,0,0
725,954.9424033013809,0,0,0
730,954.6697757183274,0,0,0
735,955.0384359993909,0,0,0
740,955.2188423001072,0,0,0
745,955.095877467581,0,0,0
750,954.2796020599899,0,0,0
755,955.5998405739339,0,0,0
760,955.4665550839858,0,0,0
765,954.3733493888161,0,0,0
770,18463.118977271228,0,0,0
775,954.9301312459754,0,0,0
780,955.3294627183502,0,0,0
785,954.9452137401368,0,0,0
790,955.4244479756899,0,0,0
795,954.8965018099296,0,0,0
800,955.5473098330241,0,0,0
805,954.8785171226679,0,0,0
810,954.6096706261561,0,0,0
815,954.4079713226282,0,0,0
820,955.4904705730612,0,0,0
825,955.5022880801918,0,0,0
830,954.8243798096149,0,0,0
835,954.3766243290421,0,0,0
840,8627.730334377555,0,0,0
845,955.4285741207177,0,0,0
850,954.9435274748981,0,0,0
855,954.9723821676597,0,0,0
860,955.0760111211331,0,0,0
865,954.7253000749027,0,0,0
870,954.8382413742875,0,0,0
875,955.1049675337609,0,0,0
880,954.9452137401368,0,0,0
885,954.613415270628,0,0,0
890,955.2517445103418,0,0,0
895,954.8079899652653,0,0,0
900,954.4658049114965,0,0,0
905,955.1828493157727,0,0,0
910,955.3631226577828,0,0,0
915,955.0048926280544,0,0,0
920,955.1618546608446,0,0,0
925,955.4167584368718,0,0,0
930,955.0291598034539,0,0,0
935,954.816044332746,0,0,0
940,954.6718355285108,0,0,0
945,955.6220740733904,0,0,0
950,955.2114372718137,0,0,0
955,954.9641377917952,0,0,0
960,954.455136052364,0,0,0
965,955.5256425848929,0,0,0
970,954.6246493803145,0,0,0
975,954.8971575144526,0,0,0
980,954.9456821482045,0,0,0
985,955.0895051532169,0,0,0
990,955.2450888946308,0,0,0
995,954.884886621928,0,0,0
1000,954.8739273891133,0,0,0
1005,955.4611156496666,0,0,0
1010,954.9677915317167,0,0,0
1015,955.0529596983941,0,0,0
1020,955.0989699449032,0,0,0
1025,955.416664662772,0,0,0
1030,954.8273768705773,0,0,0
1035,954.9771602233727,0,0,0
1040,954.8691503663554,0,0,0
1045,954.6514250744851,0,0,0
1050,954.4826509641698,0,0,0
1055,954.3820514223291,0,0,0
1060,954.6664051390183,0,0,0
1065,954.5584655606541,0,0,0
1070,954.7381287114787,0,0,0
1075,954.4298686531567,0,0,0
1080,954.7015165074968,0,0,0
1085,955.0908170933408,0,0,0
1090,954.9439021999921,0,0,0
1095,954.9240421752585,0,0,0
1100,954.802089759041,0,0,0
1105,954.7213672772609,0,0,0
1110,954.3020548325932,0,0,0
1115,955.65659902601,0,0,0
1120,955.0475249722074,0,0,0
1125,954.1235844737379,0,0,0
1130,954.5460161646852,0,0,0
1135,954.9740685348048,0,0,0
1140,955.3726866387372,0,0,0
1145,954.9377192735483,0,0,0
1150,954.4180776580173,0,0,0
1155,955.2787428885912,0,0,0
1160,955.3073365850613,0,0,0
1165,954.395712999363,0,0,0
1170,955.0593315251066,0,0,0
1175,954.6485227413482,0,0,0
1180,954.8137029328409,0,0,0
1185,955.2007517371558,0,0,0
1190,954.6504888360611,0,0,0
1195,954.7700613404506,0,0,0
1200,955.2130307492199,0,0,0
1205,954.7646298334424,0,0,0
1210,954.4256575500202,0,0,0
1215,955.4469546542705,0,0,0
1220,955.1026247166484,0,0,0
1225,955.2810865698019,0,0,0
1230,954.4832125095002,0,0,0
1235,954.3205791653982,0,0,0
1240,954.6164110073576,0,0,0
1245,954.914018797205,0,0,0
1250,954.3371394050482,0,0,0
1255,954.6374753121295,0,0,0
1260,954.7640679569341,0,0,0
1265,954.5799017477356,0,0,0
1270,954.2846538417084,0,0,0
1275,954.8914435481632,0,0,0
1280,954.4920101392744,0,0,0
1285,954.6021814253462,0,0,0
1290,954.6152876038805,0,0,0
1295,955.5782647492778,0,0,0
1300,954.8994056510822,0,0,0
1305,955.3059302976719,0,0,0
1310,954.8574421793796,0,0,0
1315,955.10974691631,0,0,0
1320,955.278274153729,0,0,0
1325,954.7661281740309,0,0,0
1330,954.9958981581642,0,0,0
1335,954.746181900356,0,0,0
1340,955.0285976155524,0,0,0
1345,955.332462950926,0,0,0
1350,954.8400209286325,0,0,0
1355,954.4984680771116,0,0,0
1360,955.4444225999948,0,0,0
1365,954.7028273819301,0,0,0
1370,955.4610218668593,0,0,0
1375,954.9854048240898,0,0,0
1380,954.8243798096149,0,0,0
1385,954.7303565766234,0,0,0
1390,954.5015566869686,0,0,0
1395,954.9787529192356,0,0,0
1400,954.9736000988892,0,0,0
1405,954.8403019115038,0,0,0
1410,954.4164868317716,0,0,0
1415,954.766596406429,0,0,0
1420,955.3754996107541,0,0,0
1425,954.877955112107,0,0,0
1430,954.3217018753487,0,0,0
1435,955.1389865333261,0,0,0
1440,954.6931831756376,0,0,0
1445,954.8477948490778,0,0,0
1450,955.0263488705643,0,0,0
1455,954.4068484096857,0,0,0
1460,954.9973035329164,0,0,0
1465,955.4261359398029,0,0,0
1470,954.5906670083253,0,0,0
1475,954.6960857803356,0,0,0
1480,954.8115488550704,0,0,0
1485,954.1579077065193,0,0,0
1490,955.1106840557521,0,0,0
1495,955.3291814475124,0,0,0
1500,954.7363495369101,0,0,0
1505,955.4381394121707,0,0,0
1510,954.4183583926113,0,0,0
1515,955.1424541707543,0,0,0
1520,954.8376794111355,0,0,0
1525,954.6240876685504,0,0,0
1530,954.9420285774632,0,0,0
1535,954.9952423180287,0,0,0
1540,954.9419348965297,0,0,0
1545,954.2502279445231,0,0,0
1550,955.3666856871304,0,0,0
1555,954.9749117206109,0,0,0
1560,954.9844679304755,0,0,0
1565,954.9365014338385,0,0,0
