ElapsedSeconds,PowerMW,ThroughputTotalMbps,Phase
0.0,8860.0,0.0,pre
5.0,8860.0,0.0,pre
10.0,8940.0,0.0,pre
15.0,8940.0,0.0,pre
20.0,8940.0,0.0,pre
25.0,8940.0,0.0,pre
30.0,8940.0,0.0,pre
35.0,8940.0,0.0,pre
40.0,8940.0,0.0,pre
45.0,8940.0,0.0,pre
50.0,8940.0,0.0,pre
55.0,9010.0,0.0,pre
60.0,9010.0,0.0,pre
65.0,9010.0,0.0,pre
70.0,8940.0,0.0,pre
75.0,8940.0,0.0,pre
80.0,8940.0,0.0,pre
85.0,9010.0,0.0,pre
90.0,9010.0,0.0,pre
95.0,9010.0,0.0,pre
100.0,8940.0,0.0,pre
105.0,8940.0,0.0,pre
110.0,8940.0,0.0,pre
115.0,9010.0,0.0,pre
120.0,9010.0,0.0,pre
125.0,9010.0,0.0,pre
130.0,8940.0,0.0,pre
135.0,8940.0,0.0,pre
140.0,8940.0,0.0,pre
145.0,9010.0,0.0,pre
150.0,9010.0,0.0,pre
155.0,9010.0,0.0,pre
160.0,8940.0,0.0,pre
165.0,8940.0,0.0,pre
170.0,8940.0,0.0,pre
175.0,9010.0,0.0,pre
180.0,9010.0,0.0,pre
185.0,9010.0,0.0,pre
190.0,8940.0,0.0,pre
195.0,8940.0,0.0,pre
200.0,8940.0,0.0,pre
205.0,8940.0,0.0,pre
210.0,8940.0,0.0,pre
215.0,8940.0,0.0,pre
220.0,8940.0,0.0,pre
225.0,8940.0,0.0,pre
230.0,8940.0,0.0,pre
235.0,8940.0,0.0,pre
240.0,8940.0,0.0,pre
245.0,8940.0,0.0,pre
250.0,9010.0,0.0,pre
255.0,9010.0,0.0,pre
260.0,9010.0,0.0,pre
265.0,9010.0,0.0,pre
270.0,9010.0,0.0,pre
275.0,9010.0,0.0,pre
280.0,9010.0,0.0,pre
285.0,9010.0,0.0,pre
290.0,9010.0,0.0,pre
295.0,9010.0,0.0,pre
300.0,9010.0,0.0,pre
305.0,9010.0,0.0,pre
310.0,9010.0,0.0,pre
315.0,9010.0,0.0,pre
320.0,9010.0,0.0,pre
325.0,9010.0,0.0,pre
330.0,9010.0,0.0,pre
335.0,9010.0,0.0,pre
340.0,8940.0,0.0,pre
345.0,8940.0,0.0,pre
350.0,8940.0,0.0,pre
355.0,8940.0,0.0,pre
360.0,8940.0,0.0,pre
365.0,8940.0,0.0,pre
370.0,8940.0,0.0,pre
375.0,8940.0,0.0,pre
380.0,8940.0,0.0,pre
385.0,8940.0,0.0,pre
390.0,8940.0,0.0,pre
395.0,8940.0,0.0,pre
400.0,9010.0,0.0,pre
405.0,9010.0,0.0,pre
410.0,9010.0,0.0,pre
415.0,8940.0,0.0,pre
420.0,8940.0,0.0,pre
425.0,8940.0,0.0,pre
430.0,8940.0,0.0,pre
435.0,8940.0,0.0,pre
440.0,8940.0,0.0,pre
445.0,8940.0,0.0,pre
450.0,8940.0,0.0,pre
455.0,8940.0,0.0,pre
460.0,8940.0,0.0,pre
465.0,8940.0,0.0,pre
470.0,8940.0,0.0,pre
475.0,8940.0,0.0,pre
480.0,8940.0,0.0,pre
485.0,8940.0,0.0,pre
490.0,8940.0,0.0,pre
495.0,8940.0,0.0,pre
500.0,8940.0,0.0,pre
505.0,8940.0,0.0,pre
510.0,8940.0,0.0,pre
515.0,8940.0,0.0,pre
520.0,8940.0,0.0,pre
525.0,8940.0,0.0,pre
530.0,8940.0,0.0,pre
535.0,8940.0,0.0,pre
540.0,8940.0,0.0,pre
545.0,8940.0,0.0,pre
550.0,9010.0,0.0,pre
555.0,9010.0,0.0,pre
560.0,9010.0,0.0,pre
565.0,8940.0,0.0,pre
570.0,8940.0,0.0,pre
575.0,8940.0,0.0,pre
580.0,8940.0,0.0,pre
