ElapsedSeconds,Throughput_Ethernet_Mbps,Throughput_Ethernet_5_Mbps,Throughput_Ethernet_6_Mbps,Throughput_Ethernet_7_Mbps,Throughput_Tailscale_Mbps
0,0,0,0,0,0
5,0,0,0,0,0
10,0,0,0,0,0
15,0,0,0,0,0
20,0,0,0,0,0
25,0,0,0,0,0
30,0,0,0,0,0
35,0,0,0,0,0
40,0,0,0,0,0
45,0,0,0,0,0
50,0,0,0,0,0
55,0,0,0,0,0
60,0,0,0,0,0
65,0,0,0,0,0
70,0,0,0,0,0
75,0,0,0,0,0
80,0,0,0,0,0
85,0,0,0,0,0
90,0,0,0,0,0
95,0,0,0,0,0
100,0,0,0,0,0
105,0,0,0,0,0
110,0,0,0,0,0
115,0,0,0,0,0
120,0,0,0,0,0
125,0,0,0,0,0
130,0,0,0,0,0
135,0,0,0,0,0
140,0,0,0,0,0
145,0,0,0,0,0
150,0,0,0,0,0
155,0,0,0,0,0
160,0,0,0,0,0
165,0,0,0,0,0
170,0,0,0,0,0
175,0,0,0,0,0
180,0,0,0,0,0
185,0,0,0,0,0
190,0,0,0,0,0
195,0,0,0,0,0
200,0,0,0,0,0
205,0,0,0,0,0
210,0,0,0,0,0
215,0,0,0,0,0
220,0,0,0,0,0
225,0,0,0,0,0
230,0,0,0,0,0
235,0,0,0,0,0
240,0,0,0,0,0
245,0,0,0,0,0
250,0,0,0,0,0
255,0,0,0,0,0
260,0,0,0,0,0
265,0,0,0,0,0
270,0,0,0,0,0
275,0,0,0,0,0
280,0,0,0,0,0
285,0,0,0,0,0
290,0,0,0,0,0
295,0,0,0,0,0
300,0,0,0,0,0
305,0,0,0,0,0
310,0,0,0,0,0
315,0,0,0,0,0
320,0,0,0,0,0
325,0,0,0,0,0
330,0,0,0,0,0
335,0,0,0,0,0
340,0,0,0,0,0
345,0,0,0,0,0
350,0,0,0,0,0
355,0,0,0,0,0
360,0,0,0,0,0
365,0,0,0,0,0
370,0,0,0,0,0
375,0,0,0,0,0
380,0,0,0,0,0
385,0,0,0,0,0
390,0,0,0,0,0
395,0,0,0,0,0
400,0,0,0,0,0
405,0,0,0,0,0
410,0,0,0,0,0
415,0,0,0,0,0
420,0,0,0,0,0
425,0,0,0,0,0
430,0,0,0,0,0
435,0,0,0,0,0
440,0,0,0,0,0
445,0,0,0,0,0
450,0,0,0,0,0
455,0,0,0,0,0
460,0,0,0,0,0
465,0,0,0,0,0
470,0,0,0,0,0
475,0,0,0,0,0
480,0,0,0,0,0
485,0,0,0,0,0
490,0,0,0,0,0
495,0,0,0,0,0
500,0,0,0,0,0
505,0,0,0,0,0
510,0,0,0,0,0
515,0,0,0,0,0
520,0,0,0,0,0
525,0,0,0,0,0
530,0,0,0,0,0
535,0,0,0,0,0
540,0,0,0,0,0
545,0,0,0,0,0
550,0,0,0,0,0
555,0,0,0,0,0
560,0,0,0,0,0
565,0,0,0,0,0
570,0,0,0,0,0
575,0,0,0,0,0
580,0,0,0,0,0
585,0,0,0,0,0
590,0,0,0,0,0
595,0,0,0,0,0
600,954.7916006835791,692.4415295977835,684.6636489155321,1031.6077387297833,0
605,955.1549191294325,692.4415295977835,684.6636489155321,1031.6077387297833,0
610,954.1793259067969,692.4415295977835,684.6636489155321,1031.6077387297833,0
615,955.2971176576347,692.4415295977835,684.6636489155321,1031.6077387297833,0
620,954.2335771789876,692.4415295977835,684.6636489155321,1031.6077387297833,0
625,955.1806935720797,692.4415295977835,684.6636489155321,1031.6077387297833,0
630,955.3836573232785,692.4415295977835,684.6636489155321,1031.6077387297833,0
635,954.4989360470173,692.4415295977835,684.6636489155321,1031.6077387297833,0
640,955.7359783503119,692.4415295977835,684.6636489155321,1031.6077387297833,0
645,954.9766917844242,692.4415295977835,684.6636489155321,1031.6077387297833,0
650,955.0943780918453,692.4415295977835,684.6636489155321,1031.6077387297833,0
655,954.4918229539735,692.4415295977835,684.6636489155321,1031.6077387297833,0
660,954.209537492077,692.4415295977835,684.6636489155321,1031.6077387297833,0
665,955.5251736077028,692.4415295977835,684.6636489155321,1031.6077387297833,0
670,954.6225897737446,692.4415295977835,684.6636489155321,1031.6077387297833,0
675,954.6744571179632,692.4415295977835,684.6636489155321,1031.6077387297833,0
680,954.9022158367555,692.4415295977835,684.6636489155321,1031.6077387297833,0
685,954.7957213643118,692.4415295977835,684.6636489155321,1031.6077387297833,0
690,955.684370906921,692.4415295977835,684.6636489155321,1031.6077387297833,0
695,954.9652620164856,692.4415295977835,684.6636489155321,1031.6077387297833,0
700,955.4093503397091,692.4415295977835,684.6636489155321,1031.6077387297833,0
705,955.2290595529519,692.4415295977835,684.6636489155321,1031.6077387297833,0
710,954.4013274594845,692.4415295977835,684.6636489155321,1031.6077387297833,0
715,954.9900893197361,692.4415295977835,684.6636489155321,1031.6077387297833,0
720,954.9433401124613,692.4415295977835,684.6636489155321,1031.6077387297833,0
725,954.9127073427462,692.4415295977835,684.6636489155321,1031.6077387297833,0
730,955.5198273002719,692.4415295977835,684.6636489155321,1031.6077387297833,0
735,955.3370570935788,692.4415295977835,684.6636489155321,1031.6077387297833,0
740,954.4567270074539,692.4415295977835,684.6636489155321,1031.6077387297833,0
745,955.762534897572,692.4415295977835,684.6636489155321,1031.6077387297833,0
750,955.2955238996701,692.4415295977835,684.6636489155321,1031.6077387297833,0
755,954.9633883101388,692.4415295977835,684.6636489155321,1031.6077387297833,0
760,954.5141921172575,692.4415295977835,684.6636489155321,1031.6077387297833,0
765,954.7534860728729,692.4415295977835,684.6636489155321,1031.6077387297833,0
770,955.5656011320416,692.4415295977835,684.6636489155321,1031.6077387297833,0
775,955.5581907265193,692.4415295977835,684.6636489155321,1031.6077387297833,0
780,955.2726493712628,692.4415295977835,684.6636489155321,1031.6077387297833,0
785,955.1574496494936,692.4415295977835,684.6636489155321,1031.6077387297833,0
790,954.7711851082369,692.4415295977835,684.6636489155321,1031.6077387297833,0
795,954.8152950835271,692.4415295977835,684.6636489155321,1031.6077387297833,0
800,955.8236299427887,692.4415295977835,684.6636489155321,1031.6077387297833,0
805,955.3144618381342,692.4415295977835,684.6636489155321,1031.6077387297833,0
810,955.4984426688037,692.4415295977835,684.6636489155321,1031.6077387297833,0
815,955.5891463477606,692.4415295977835,684.6636489155321,1031.6077387297833,0
820,954.6530166840204,692.4415295977835,684.6636489155321,1031.6077387297833,0
825,954.6819474528786,692.4415295977835,684.6636489155321,1031.6077387297833,0
830,954.9692905100288,692.4415295977835,684.6636489155321,1031.6077387297833,0
835,955.1181812374941,692.4415295977835,684.6636489155321,1031.6077387297833,0
840,955.3589970780563,692.4415295977835,684.6636489155321,1031.6077387297833,0
845,954.6924341192258,692.4415295977835,684.6636489155321,1031.6077387297833,0
850,955.4646794099832,692.4415295977835,684.6636489155321,1031.6077387297833,0
855,955.7166483641366,692.4415295977835,684.6636489155321,1031.6077387297833,0
860,954.7872927372063,692.4415295977835,684.6636489155321,1031.6077387297833,0
865,955.1004693350559,692.4415295977835,684.6636489155321,1031.6077387297833,0
870,955.0407785016105,692.4415295977835,684.6636489155321,1031.6077387297833,0
875,954.9818446381347,692.4415295977835,684.6636489155321,1031.6077387297833,0
880,955.2532443802088,692.4415295977835,684.6636489155321,1031.6077387297833,0
885,954.7675328726036,692.4415295977835,684.6636489155321,1031.6077387297833,0
890,955.4032551560385,692.4415295977835,684.6636489155321,1031.6077387297833,0
895,954.912145291938,692.4415295977835,684.6636489155321,1031.6077387297833,0
900,954.7830784794572,692.4415295977835,684.6636489155321,1031.6077387297833,0
